devicetime,latitude,longitude,ac_lat,angle_volante,yaw_rate,rpm,score,anomaly,anomaly_data
2022-12-04 00:34:40.000,"-225,844,466","-68,804,535",-0.23,-0.03,0.01,1291.0,"7,405,026,519",0,No
2022-12-04 00:34:41.000,"-2,258,424","-688,044,166",0.28,0.04,0.0,1287.0,"8,277,449,754",0,No
2022-12-04 00:34:42.000,"-225,840,366","-688,043,033",0.23,0.19,0.02,1285.0,"807,768,115",0,No
2022-12-04 00:34:44.000,"-22,583,835","-688,041,833",0.46,0.24,0.02,1283.0,"9,803,196,201",0,No
2022-12-04 00:34:45.000,"-22,583,635","-688,040,616",-0.08,0.17,0.02,1280.0,"7,512,313,795",0,No
2022-12-04 00:34:46.000,"-225,834,316","-68,803,945",-0.29,0.31,0.04,1282.0,"8,302,432,291",0,No
2022-12-04 00:34:47.000,"-22,583,025","-688,037,266",0.23,0.35,0.05,1292.0,"807,768,115",0,No
2022-12-04 00:34:48.000,"-22,583,025","-688,037,266",0.28,0.41,0.03,1295.0,"8,277,449,754",0,No
2022-12-04 00:34:49.000,"-225,826,033","-688,035,383",0.46,0.53,0.07,1291.0,"9,803,196,201",0,No
2022-12-04 00:34:50.000,"-2,258,239","-688,034,583",0.32,0.55,0.05,1283.0,"8,191,352,586",0,No
2022-12-04 00:34:51.000,"-225,821,716","-688,033,866",0.91,0.65,0.06,1284.0,"19,511,673,821",1,Yes
2022-12-04 00:34:52.000,"-225,819,516","-688,033,333",0.44,0.64,0.06,1280.0,"9,599,283,172",0,No
2022-12-04 00:34:53.000,"-22,581,725","-6,880,329",0.1,0.57,0.06,1282.0,"7,764,736,227",0,No
2022-12-04 00:34:54.000,"-225,814,966","-6,880,326",0.25,0.55,0.03,1274.0,"8,247,216,404",0,No
2022-12-04 00:34:55.000,"-225,812,683","-688,032,433",0.6,0.53,0.06,1297.0,"11,280,825,575",0,No
2022-12-04 00:34:56.000,"-225,810,383","-6,880,325",0.16,0.46,0.04,1299.0,"8,090,370,888",0,No
2022-12-04 00:34:57.000,"-225,808,083","-688,032,683",-0.13,0.22,0.02,1292.0,"7,331,990,095",0,No
2022-12-04 00:34:58.000,"-2,258,058","-688,032,983",0.02,-0.04,0.0,1297.0,"7,904,928,679",0,No
2022-12-04 00:34:59.000,"-225,803,483","-68,803,335",-0.95,-0.26,-0.02,1303.0,"18,760,190,913",1,Yes
2022-12-04 00:35:00.000,"-225,801,133","-68,803,375",-0.57,-0.34,-0.03,1315.0,"10,624,935,937",0,No
